Tickers,0
0,AAIC^B
1,AAIC^C
2,AAM^A
3,AAM^B
4,ABR^D
5,ABR^E
6,ABR^F
7,ACAX
8,ACAXR
9,ACAXW
10,ACP^A
11,ACR^C
12,ACR^D
13,ACTDU
14,ADC^A
15,AEHAU
16,AEL^A
17,AEL^B
18,AFARU
19,AGM^C
20,AGM^D
21,AGM^E
22,AGM^F
23,AGM^G
24,AHH^A
25,AHL^C
26,AHL^D
27,AHL^E
28,AHT^D
29,AHT^F
30,AHT^G
31,AHT^H
32,AHT^I
33,AIG^A
34,AKO/A
35,AKO/B
36,AL^A
