Ticker number,Ticker,Week's Performance,Highest Price,Lowest Price,Best Day,Worst Day,Week's Volume
75,ACII,-0.051%,$9.79,$9.75,0.051%,-0.051%,4212215
2,AAC,-0.102%,$9.80,$9.77,0.000%,0.000%,1197101212
27,ABCL,-0.158%,$9.83,$9.19,2.157%,-2.950%,125761787413050
77,ACIW,-0.429%,$33.53,$32.05,0.154%,-0.215%,677058575248
68,ACGLO,-0.459%,$24.04,$23.71,0.126%,-0.793%,373352142
40,ABST,-0.715%,$8.57,$8.14,0.715%,-0.120%,84313531520
34,ABM,-0.736%,$45.79,$44.22,0.626%,-0.825%,502065665259
67,ACGLN,-0.911%,$20.87,$20.41,0.486%,-1.161%,523683256
73,ACHV,-1.361%,$7.51,$7.14,1.541%,-2.291%,300169174
81,ACLS,-1.443%,$83.73,$75.85,3.525%,-4.871%,106651163711591
58,ACCD,-1.444%,$16.98,$15.48,4.000%,-6.773%,538080675921
15,AAP,-1.511%,$216.27,$210.07,0.445%,-2.515%,190541885917959
76,ACIU,-1.896%,$4.52,$4.10,4.739%,-5.909%,812884586
37,ABOS,-17.813%,$5.86,$4.63,0.000%,-9.187%,282623823782
69,ACH,-2.109%,$15.73,$14.76,1.524%,-1.310%,86015251681
71,ACHL,-2.303%,$3.26,$2.85,2.606%,-8.896%,407734496
61,ACEL,-2.630%,$13.21,$12.38,1.083%,-1.229%,186814963010
19,AATC,-2.795%,$6.58,$6.26,-0.159%,-0.780%,110163164
43,ABUS,-3.041%,$3.04,$2.80,2.027%,-3.667%,605370188063
23,ABB,-3.231%,$34.80,$33.12,0.721%,-0.374%,181621807319119
33,ABIO,-3.320%,$2.55,$2.21,0.431%,-1.255%,292664637
14,AAON,-3.442%,$55.17,$51.18,-1.024%,-2.054%,308133663301
72,ACHR,-3.950%,$5.24,$4.60,3.534%,-9.589%,253901300715838
13,AAOI,-4.142%,$3.38,$3.11,-0.592%,-2.679%,141913781506
6,AADI,-4.566%,$18.54,$16.86,2.394%,-3.883%,300021361356
20,AAU,-4.849%,$0.39,$0.34,1.389%,-1.721%,119617141273
50,ACAD,-5.447%,$27.39,$24.15,4.143%,-7.678%,179001355122449
3,AACG,-6.250%,$1.52,$1.31,2.113%,-6.897%,83172219
84,ACMR,-6.391%,$23.00,$20.73,0.555%,-5.174%,1010580046122
74,ACI,-7.434%,$36.25,$32.00,1.244%,-1.733%,137036200126273
31,ABG,-8.652%,$181.81,$161.78,-1.117%,-4.913%,586959627909
29,ABEO,-8.672%,$0.32,$0.28,0.645%,-7.878%,164415381394
