Ticker number,Ticker,Week's Performance,Highest Price,Lowest Price,Best Day,Worst Day,Week's Volume,Volatility
235,252,AHT,14.141,10.45,8.65,7.814,-1.596,4.354614511628125e+21,9.41
236,1756,CRDO,14.094,15.54,13.15,8.054,0.0,1.3808129239351102e+23,8.054
237,1280,CANF,14.01,1.23,1.03,11.111,-1.709,869545523456356.0,12.82
238,4095,LAC,13.976,38.7,32.17,11.058,-4.369,4.473533973376743e+25,15.427
239,3876,JFIN,13.962,3.19,2.65,4.906,-3.484,418258133503447.0,8.39
240,1310,CBL,13.953,33.66,28.65,5.899,-0.667,2.8722241257815982e+19,6.566
241,700,AURA,13.925,24.08,20.18,6.333,-7.641,5552995101049713.0,13.974
242,3004,GH,13.87,69.58,56.73,7.69,-0.936,1.3884126321059223e+24,8.626000000000001
243,2390,EOSEW,13.821,1.4,0.92,3.244,-17.468,5326749810.0,20.712
244,1977,DCGOW,13.776,2.25,1.95,9.314,-6.667,43383283156.0,15.981
245,7546,WINT,13.725,1.18,0.96,5.455,-0.98,567414353323319.0,6.4350000000000005
246,812,BATL,13.701,20.43,17.57,9.003,0.596,796392348597291.0,9.599
247,6976,TNYA,13.699,12.43,9.94,11.742,-2.885,2.291191514011752e+19,14.627
248,2946,GDNRW,13.636,0.26,0.22,11.364,-4.0,3971021410.0,15.364
250,3442,HQY,13.617,67.9,59.0,6.488,-0.957,1.7216162591296216e+24,7.445
251,2465,ET,13.596,11.54,10.1,3.619,0.985,3.6853652639215474e+24,4.604
252,6477,SMSI,13.595,3.91,3.16,9.907,-2.727,2.1532852452143976e+19,12.634
253,1736,CPSH,13.573,4.25,3.36,13.889,-4.494,6798869105752910.0,18.383
254,1115,BRCN,13.554,1.04,0.82,13.874,-7.17,821784262144132.0,21.044
255,6597,SRAD,13.547,17.45,14.32,5.703,-6.717,2.677262522055317e+19,12.42
256,7251,UUU,13.521,4.3,3.55,12.958,-3.258,1.2935843141209788e+16,16.216
258,5080,NUVL,13.366,15.21,11.82,7.728,-1.483,2.8042345266428035e+19,9.211
259,6507,SNPX,13.354,7.51,6.47,3.625,-0.607,174355310479261.0,4.232
260,4963,NMRD,13.333,4.58,3.82,5.238,0.465,444673179181.0,5.703
261,301,ALACW,13.318,0.3,0.2,13.643,-16.873,478018124172.0,30.516000000000002
262,2712,FLYW,13.284,31.7,26.69,8.934,-0.098,5.5366395821315116e+20,9.032
263,2766,FPAY,13.26,1.88,1.62,2.299,0.646,83200167120148.0,2.945
264,6685,STVN,13.217,20.35,17.24,4.556,-1.712,2.6271874188429554e+19,6.268
265,3709,INNV,13.211,6.8,5.74,6.782,-2.843,1.7612363410025834e+19,9.625
266,4057,KRT,13.206,19.8,16.27,8.259,2.66,565229443455226.0,10.919
267,744,AVTE,13.186,19.72,14.27,11.718,-1.804,1.6821076470116111e+18,13.522
268,2140,DRTS,13.184,20.65,12.0,23.549,-9.603,7.726212825125408e+22,33.152
269,2128,DRAYW,13.17,0.41,0.27,7.107,-27.482,1519107693.0,34.589
270,3177,GRFS,13.123,12.78,10.31,9.758,-0.575,1.0809715252825563e+21,10.332999999999998
271,5200,OGI,13.072,1.87,1.5,9.15,-2.26,1.4655228671172513e+24,11.41
272,2362,ENOB,13.043,8.34,7.13,9.537,-5.243,2.838314031022856e+19,14.780000000000001
273,6608,SRI,13.019,21.47,17.85,5.725,0.049,1.6372080410432383e+19,5.774
274,3802,ISPOW,12.953,1.42,0.88,12.805,-3.713,3.673501741718195e+16,16.518
275,4896,NFE,12.943,40.74,34.68,4.409,1.255,1.2000187951269415e+24,5.664
276,5233,OMEX,12.925,7.39,5.88,10.0,-7.778,25316332319183.0,17.778
277,6532,SOLOW,12.9,0.46,0.4,14.375,-1.16,142761811.0,15.535
278,6377,SINT,12.829,0.64,0.52,16.512,-4.21,844270368233364.0,20.722
280,1050,BMRA,12.75,4.59,4.0,6.872,-1.878,302264169305379.0,8.75
281,6461,SMFR,12.635,3.28,2.65,7.971,-3.106,8.73314875136969e+21,11.077
282,1389,CELC,12.596,8.88,7.6,6.099,-3.306,1168690885942833.0,9.405000000000001
283,3680,INAB,12.581,3.65,3.1,7.385,-3.846,8520137396382.0,11.231
284,1110,BRAG,12.573,7.94,6.67,10.13,-2.143,6085187624141.0,12.273
285,3537,HZN,12.549,5.8,5.1,5.49,-0.882,53158998142243.0,6.372
286,7377,VLRS,12.524,17.64,15.34,6.341,-0.639,4.584382439884233e+19,6.98
287,5883,RCEL,12.484,8.68,7.31,6.608,-3.708,1.6361312249633753e+19,10.315999999999999
288,6002,RIVN,12.454,56.76,44.0,13.767,-5.545,1.1961011697210911e+29,19.311999999999998
290,6358,SIBN,12.417,22.27,18.95,4.245,0.253,4.057434840673776e+19,4.498
291,3377,HLBZ,12.411,3.47,2.74,6.431,-3.704,1.3952747109190982e+19,10.135
292,7495,WAVE,12.398,5.65,4.75,6.757,-3.455,117163296235321.0,10.212
293,4338,LTRPB,12.39,15.5,13.22,9.621,-0.999,11357150111123.0,10.620000000000001
294,6350,SHPW,12.36,3.18,2.5,5.597,-5.185,4944135377161052.0,10.782
295,5247,ONDS,12.349,7.99,6.64,10.09,-5.007,5.368320127454706e+19,15.097
296,1386,CEG,12.349,57.79,50.77,4.413,-1.175,1.9233218342837822e+24,5.588
297,7028,TROO,12.312,4.99,3.98,16.08,-1.766,1589414343312299.0,17.845999999999997
298,4661,MP,12.306,60.19,50.2,12.505,-1.58,6.486241153239283e+24,14.085
299,3028,GIIXW,12.304,1.37,1.15,6.224,-1.172,7810392156.0,7.396
300,787,AZYO,12.255,5.77,4.92,10.366,-2.157,3083147151179.0,12.523
301,3606,IGC,12.175,1.16,0.83,7.091,-5.941,4.2636896346826424e+19,13.032
302,6644,STAF,12.153,0.88,0.71,11.111,-3.78,1073717318309178.0,14.891
303,54,ACB,12.129,4.56,3.53,8.895,-4.662,5.40321084154913e+25,13.556999999999999
304,4570,MIST,12.075,6.97,5.88,8.163,2.703,800407504711447.0,10.866
305,1057,BNGO,12.033,2.84,2.31,7.438,-1.25,1.5290114591732317e+24,8.687999999999999
306,3420,HOOK,12.022,2.19,1.66,9.249,-6.011,7.371184236270453e+20,15.260000000000002
307,3727,INTT,11.996,11.1,9.42,7.113,-4.265,8.961102154589763e+16,11.378
308,2758,FOUNW,11.977,0.43,0.35,8.108,-5.238,83528210347.0,13.346
309,2351,ENERW,11.947,0.2,0.17,7.984,0.0,2913308.0,7.984
310,5078,NUVA,11.934,57.49,50.89,6.326,-0.688,6.215600593545656e+19,7.013999999999999
311,143,ADUS,11.919,90.94,79.55,4.702,-0.098,1.5641993128737305e+19,4.8
312,3694,INFI,11.881,1.29,0.95,13.0,-4.779,2.707204725633298e+19,17.779
313,5583,PLAY,11.881,52.54,42.01,13.211,-2.554,1.2930155153126464e+24,15.765
314,39,ABSI,11.873,8.98,7.38,9.894,-7.563,8.318759339816095e+19,17.457
315,5159,OBE,11.854,9.49,7.8,10.93,-3.06,2.3535333449756574e+19,13.99
316,1085,BOSC,11.848,3.48,2.52,17.442,-0.744,45162758448264.0,18.186
317,3419,HOOD,11.828,16.49,12.26,20.622,-6.547,6.456372936732855e+26,27.169
318,1177,BTAI,11.804,23.52,19.2,12.68,-6.79,1.2707899567345508e+20,19.47
319,1729,CPLP,11.779,19.65,15.86,14.773,-3.848,1.000296833611916e+19,18.621
320,7557,WKHS,11.778,5.24,4.21,11.964,-3.563,2.0740198692035334e+24,15.527000000000001
321,1114,BRCC,11.778,20.8,18.0,6.389,1.32,1.453216137122501e+23,7.7090000000000005
322,5634,PNTG,11.768,19.16,15.88,8.259,-3.438,1.3861956182835892e+19,11.697000000000001
323,4502,MEOAW,11.765,0.19,0.16,5.614,-5.367,132413813.0,10.981
324,4971,NNAVW,11.758,1.99,1.67,4.709,-2.564,40701363498212.0,7.273
325,1898,CVT,11.746,7.11,5.94,9.841,-0.779,5.113264130682835e+19,10.62
326,6652,STER,11.712,26.44,22.55,7.705,-2.047,6.1724096328666096e+19,9.752
327,1442,CGC,11.641,8.79,6.88,10.799,-2.696,7.397016037773985e+25,13.495
328,4239,LITM,11.634,10.09,7.0,21.727,-7.054,1.7365385321372413e+18,28.781
329,346,ALRN,11.628,0.67,0.42,22.894,-7.273,7.305637146276869e+16,30.166999999999998
330,7281,VCEL,11.611,41.24,34.28,4.903,-0.611,6.69363025400732e+19,5.513999999999999
331,3779,IREN,11.579,15.94,13.02,12.06,-5.392,5.1032559548440895e+19,17.452
332,7734,ZETA,11.578,12.42,10.28,6.649,-1.808,6.924422648917541e+19,8.457
334,3580,IDBA,11.55,18.35,16.18,1.562,0.0,29481003013.0,1.562
335,4669,MPLN,11.538,4.78,4.07,8.747,-3.311,1.0340200087112994e+21,12.058
336,1254,BZUN,11.457,9.7,7.75,6.363,-0.556,1.3050112231602623e+24,6.9190000000000005
337,6016,RLMD,11.41,27.16,23.02,7.265,-1.037,7.626685152135363e+19,8.302
339,2953,GDYN,11.368,16.37,10.28,12.559,-9.619,9.702953213440408e+22,22.177999999999997
340,6550,SPCE,11.354,11.25,9.26,11.212,-3.083,4.705743268558011e+25,14.295
341,4186,LFTRW,11.351,0.29,0.24,11.551,-10.379,1451125139.0,21.93
342,3369,HITI,11.316,5.1,4.28,7.822,-6.746,1.24429011714103e+19,14.568000000000001
343,6069,ROIVW,11.311,0.99,0.81,4.053,-8.044,2325212.0,12.097000000000001
344,5979,RHE,11.304,4.13,3.38,10.704,-2.01,2231381188415236.0,12.714
345,5611,PME,11.274,0.74,0.62,10.113,-8.683,1097884473240188.0,18.796
346,1122,BRFS,11.272,3.88,3.42,2.918,0.551,4.577342948261044e+21,3.4690000000000003
347,7165,UG,11.263,23.26,19.0,7.003,-3.301,10615997437501.0,10.304
348,3800,ISPC,11.194,4.54,3.86,13.165,-4.412,9.249446291414406e+16,17.576999999999998
349,2027,DHC,11.189,3.23,2.81,4.62,-1.325,4.693691053951018e+20,5.945
350,4746,MTNB,11.184,0.91,0.75,14.513,-7.27,2.0611652175016833e+19,21.783
351,6893,THACW,11.156,0.32,0.25,15.394,-11.472,1324152724.0,26.866
352,4202,LGSTW,11.152,0.31,0.27,5.595,-0.655,363881140.0,6.25
353,3160,GPOR,11.114,89.66,79.88,5.233,-0.666,3.4403220481440272e+19,5.899
354,2136,DRMA,11.111,1.38,1.16,12.821,-1.538,229483330244193.0,14.359
356,1653,CNTQW,11.076,0.32,0.27,1.556,-9.533,23111297.0,11.088999999999999
357,5341,OXBR,11.022,7.03,6.26,3.195,-4.741,363205330361389.0,7.936
358,6314,SGHC,11.019,10.83,9.52,5.613,-1.087,4.034374827493081e+19,6.7
359,7306,VERA,11.002,24.0,19.44,6.09,-3.704,1.8961206132214702e+19,9.794
360,7082,TTOO,11.0,0.48,0.39,10.717,-6.433,9.981261279117525e+18,17.15
361,2702,FLNG,10.988,29.34,24.82,10.867,-0.392,4.909145546510589e+20,11.259
362,7471,VWTR,10.945,14.89,12.89,6.475,-1.424,6204968956021518.0,7.898999999999999
363,7593,WRAP,10.937,2.99,2.45,6.593,-1.158,7.877661122151715e+17,7.7509999999999994
364,5835,QTNT,10.909,1.31,1.08,5.882,-1.77,2.220271635034186e+19,7.651999999999999
365,524,ARC,10.904,4.18,3.62,4.615,0.257,4.7685079615091784e+16,4.872
366,4496,MEG,10.895,54.48,45.51,7.168,-2.256,4.660356349163725e+19,9.424
367,4305,LPI,10.893,87.09,73.52,8.516,-0.693,1.2758194121395718e+24,9.209
368,127,ADNT,10.875,41.75,36.23,3.8,-0.098,8.143105681015611e+23,3.8979999999999997
369,6432,SLHGP,10.872,11.0,8.76,8.218,-5.505,30051716054.0,13.722999999999999
370,480,APM,10.87,1.65,1.35,15.328,-3.165,3522121525376304.0,18.493
371,1007,BLDEW,10.87,2.25,1.79,4.348,-2.498,41524914140.0,6.846
372,3661,IMMX,10.849,2.41,2.06,10.748,-0.93,486401350843505.0,11.677999999999999
373,11,AAME,10.849,3.1,2.66,4.108,0.0,801747312696.0,4.108
374,2313,ELMS,10.791,1.63,1.21,19.697,-4.348,3.720479136466447e+19,24.044999999999998
375,4990,NOTV,10.79,25.72,22.1,5.785,-1.683,3.2532336227638436e+19,7.468
376,1566,CLRB,10.769,0.79,0.61,11.368,-6.494,367285844513444.0,17.862000000000002
378,4729,MTBC,10.737,5.79,4.44,10.417,-6.738,1.220100913789657e+17,17.155
379,9,AAL,10.668,18.43,16.1,2.514,0.174,1.0143113271410628e+28,2.6879999999999997
380,6839,TDUP,10.63,8.95,7.29,12.025,-5.535,5.3905499529890914e+19,17.560000000000002
381,4289,LOCL,10.61,7.84,6.63,3.602,-2.993,2.151236819241992e+19,6.595
382,2018,DGLY,10.577,1.18,1.04,4.808,-0.885,6.231109336415397e+17,5.693
383,699,AUR,10.566,6.14,4.95,9.007,-4.478,1.2365114741282525e+24,13.485
384,1976,DCGO,10.539,9.58,8.21,3.468,-5.688,3.58349405210135e+21,9.155999999999999
385,7200,UONEK,10.538,5.35,4.63,6.452,-3.019,9801294480938454.0,9.471
386,7337,VICR,10.532,69.83,62.46,3.097,-0.419,2.2057912764297963e+20,3.516
387,5718,PRVA,10.531,27.88,23.9,5.725,-1.885,1.4783114301106813e+24,7.609999999999999
388,905,BFIIW,10.526,0.88,0.75,2.41,-4.545,60667230133.0,6.955
389,5559,PIIIW,10.49,1.85,1.38,4.545,-6.627,22928122188941.0,11.172
390,2088,DMTK,10.464,15.97,13.0,8.286,-4.945,4.700537234348236e+19,13.231
391,7176,UK,10.462,8.2,6.0,7.324,-8.576,703861405802708.0,15.9
392,764,AXNX,10.433,63.33,55.85,4.6,0.547,7.3148239728697295e+19,5.146999999999999
393,951,BHV,10.428,21.47,18.65,9.288,-1.775,12221430155.0,11.063
394,162,AEHL,10.4,1.5,1.11,13.821,-3.2,1.100356157761032e+16,17.021
395,2913,GATEW,10.387,0.4,0.27,3.728,-15.437,9842361418.0,19.165
396,7159,UEPS,10.351,5.85,5.15,5.805,-0.665,519298921755437.0,6.47
397,2910,GASS,10.345,2.74,2.32,10.345,-5.303,8.38189996713576e+16,15.648
398,1780,CRON,10.298,4.31,3.57,8.13,-1.25,1.8678389881765813e+24,9.38
399,6441,SLP,10.273,50.0,44.94,2.281,1.274,2.4413720350123962e+19,3.555
400,1537,CLB,10.271,32.9,29.01,7.496,-0.834,5.231764071928109e+19,8.33
401,1252,BZFDW,10.266,0.91,0.73,9.062,-7.692,18155131763.0,16.753999999999998
402,1564,CLPT,10.202,10.48,9.05,5.643,-1.582,1.5042191138227503e+19,7.225
403,4874,NEON,10.197,6.92,5.1,17.524,-5.085,5463631064827484.0,22.609
404,731,AVHIW,10.17,0.22,0.18,4.714,-9.05,29373713.0,13.764000000000001
405,6860,TEO,10.166,6.02,5.4,5.545,-2.23,2.2461775874111112e+18,7.775
406,6433,SLI,10.165,8.32,7.12,10.014,-2.717,7.463889610648877e+21,12.731
407,419,AMTX,10.133,13.16,10.54,6.756,-1.941,7.308736964315049e+20,8.697000000000001
408,4090,KZIA,10.127,8.46,7.0,4.219,-7.446,243194241416176.0,11.665
409,3721,INTA,10.118,24.5,20.59,6.479,-2.091,2.5382253218929594e+19,8.57
410,4482,MDV,10.111,20.57,17.1,13.908,-2.389,2331823523461198.0,16.297
411,1934,CYTO,10.101,1.14,0.99,11.111,-3.509,635412412431304.0,14.620000000000001
412,4214,LHCG,10.077,168.98,150.44,2.772,-2.096,1.4169966180878728e+22,4.868
413,4192,LGHL,10.067,1.98,1.4,12.5,-5.851,2.217269317846749e+17,18.351
414,3206,GSHD,10.046,86.71,75.04,5.278,-2.692,4.648337748295509e+19,7.97
415,1006,BLDE,10.026,8.86,7.61,3.728,-1.481,5.698411933394584e+19,5.2090000000000005
416,911,BFS,10.015,53.06,48.13,3.802,0.181,4396215059431034.0,3.983
417,3522,HYACW,10.0,0.57,0.43,13.169,-6.842,128167110227.0,20.011
418,866,BCTX,10.0,10.2,9.0,6.681,-1.198,3.1062372428631392e+19,7.879
419,3804,ISRG,9.978,306.59,273.65,3.115,0.624,3.0514322064418043e+24,3.7390000000000003
420,6542,SOPH,9.974,8.38,7.12,11.17,-3.408,7465625932409713.0,14.578
421,4495,MEDS,9.959,3.47,2.2,11.814,-4.727,2.091533933532675e+18,16.541
423,3636,IINNW,9.945,0.54,0.4,24.938,0.0,343854243.0,24.938
424,6052,RNWWW,9.877,1.89,1.53,6.863,-3.784,110108503458.0,10.647
425,4178,LFG,9.864,22.4,19.87,7.65,-1.823,2.710216080827714e+23,9.473
426,518,ARBE,9.846,7.14,5.95,13.514,-7.02,288244225305430.0,20.534
427,7137,UAL,9.818,46.28,41.03,2.443,0.481,8.33849768596455e+25,2.924
428,2309,ELEV,9.804,3.49,2.53,12.774,-9.938,373143337365697.0,22.712
429,1683,COMP,9.793,8.35,7.04,4.666,-3.045,1.2241164761384116e+24,7.711
430,7580,WOLF,9.787,122.22,103.84,3.523,-3.667,2.2386279842827138e+24,7.1899999999999995
